hhid,pid,wave,year,p_age,p_econstat,p_edu,p_employ_type,p_firm_size,p_hours,p_ind2000,p_ind2007,p_ind2017,p_job_begin,p_job_status,p_jobfam2000,p_jobfam2007,p_jobfam2017,p_jobtype,p_married,p_region,p_rel,p_religion,p_sample09,p_sample18,p_sample98,p_sex,p_wage,p_weight09_c,p_weight09_l,p_weight18_c,p_weight18_l,p_weight98_c,p_weight98_l
1,101,23,2020,79,3,2,,,,,,,,,,,,,3,8,6,1,1,2,1,2,,2667.7795,1234.9795,1115.0809,0,2347.8193,2281.3843
1,102,23,2020,52,1,3,1,2,40,463,423,423,2010m2,1,713,762,762,1,3,8,10,1,1,2,1,1,380,2734.8757,4626.6772,1171.2197,2500.3066,2347.8193,2414.479
6034,201,23,2020,69,1,3,1,2,40,759,742,742,2020m5,2,911,941,941,1,3,1,10,3,1,1,2,1,150,2429.3152,2731.7363,1288.8639,1332.4055,2917.8093,2917.9492
2,202,23,2020,66,1,3,1,1,35,702,682,682,2002m3,2,911,941,941,1,3,1,10,3,1,1,1,2,120,4841.4199,5648.7803,2238.855,2462.2083,2578.3496,2578.4731
8589,203,23,2020,41,3,5,,,,,,,,,,,,,2,5,20,1,2,1,2,2,,3167.136,6758.2446,2137.3188,2048.2651,377.78696,755.61011
4,401,23,2020,50,1,6,1,6,40,721,620,620,1996m4,1,120,222,223,1,2,1,10,1,1,1,1,1,500,10324.498,13025.752,6864.6953,7932.8218,12024.934,16889.846
4,402,23,2020,51,3,5,,,,,,,,,,,,,2,1,20,4,1,1,1,2,,8953.5742,8501.1875,6158.8071,6657.833,12024.934,7161.1714
6,602,23,2020,85,1,2,1,,6,761,841,841,2014m3,2,914,941,941,1,3,1,10,3,1,1,1,2,27,2842.8218,2917.032,1231.9347,1214.1453,3311.0117,3311.1702
6,603,23,2020,53,3,6,,,,,,,,,,,,,1,1,14,1,1,1,1,2,,2555.2351,3219.4707,1144.7471,1428.0179,3311.0117,3311.1702
6056,903,23,2020,48,3,6,,,,,,,,,,,,,2,1,20,1,1,1,2,2,,2550.7019,2737.1763,1273.9424,1265.55,3299.1309,6472.4639
11,1101,23,2020,63,1,2,1,,40,702,682,682,2001m1,1,911,941,941,1,2,1,10,3,1,1,1,1,100,2162.6052,2009.9537,1324.701,1107.0804,1940.7454,1940.8383
11,1102,23,2020,71,1,2,1,1,50,552,561,561,2010m7,1,911,952,952,1,2,1,20,1,1,1,1,2,130,2292.283,1610.7551,1258.498,856.19427,1940.7454,1940.8383
11,1103,23,2020,33,3,4,,,,,,,,,,,,,1,1,11,3,1,1,1,1,,2705.0769,3595.3035,1540.7418,2189.1497,1940.7454,1940.8383
12,1201,23,2020,44,1,6,1,2,40,862,872,872,2010m11,1,271,247,247,1,2,8,20,3,1,1,1,2,200,1123.9979,944.39844,627.82117,605.33594,3.1592355,6.3187733
12,1203,23,2020,50,1,6,1,2,40,515,466,466,2020m1,1,511,510,510,1,2,8,10,3,1,1,1,1,250,1022.4086,1270.4257,612.35394,721.27197,3.1592355,0
14,1402,23,2020,83,3,1,,,,,,,,,,,,,3,1,10,1,1,1,1,2,,2679.5828,2968.9534,1096.2267,1162.4347,3564.9658,3565.1365
5048,1403,23,2020,50,1,3,1,2,40,761,841,841,1997m4,1,313,311,311,1,2,8,10,1,1,1,2,1,480,1574.6112,1883.9966,950.75702,1065.3892,9.8368139,9.8472481
15,1502,23,2020,65,3,2,,,,,,,,,,,,,3,8,10,2,1,1,1,2,,1758.8662,1952.8311,1036.9952,1109.3014,2751.6619,2751.7937
16,1601,23,2020,72,3,2,,,,,,,,,,,,,3,1,10,1,1,1,1,2,,1486.681,1647.229,590.15564,625.79883,1522.0981,1522.171
18,1801,23,2020,75,3,2,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,3808.6138,2920.8291,1795.0763,1484.6206,3637.8171,4101.7007
18,1802,23,2020,70,1,2,1,,45,882,902,902,2017m7,1,911,941,941,1,2,1,20,4,1,1,1,2,150,4060.1721,2839.2649,1977.1663,1802.3678,3637.8171,1872.8119
9457,1803,23,2020,48,1,4,1,2,40,518,465,465,2002m3,1,315,313,313,1,1,1,10,1,2,1,2,2,300,4368.8071,4283.2485,2309.0122,2423.4072,5718.6509,5718.9248
18,1804,23,2020,45,1,6,1,1,40,741,712,712,2010m8,1,315,313,313,1,1,1,12,1,1,1,1,2,200,4267.8374,4658.5791,1990.0964,2389.3669,3637.8171,4288.7266
