mem_no,gender,age,addr_no,join_date
109874,man,52,9001,2014-08-05
147934,women,64,9013,2020-04-22
186392,women,60,9011,2014-07-15
120416,man,24,9010,2017-06-10
133763,man,26,9014,2018-03-14
142230,man,53,9005,2012-09-10
105890,women,49,9008,2013-03-05
102798,man,58,9002,2011-05-13
103962,women,54,9011,2019-01-02
167472,women,49,9017,2011-04-23
184825,man,21,9002,2019-06-18
109181,man,56,9003,2010-05-16
111687,man,65,9007,2017-09-10
164214,women,20,9010,2015-09-21
175773,man,38,9007,2016-04-04
187258,women,56,9002,2018-10-30
131830,women,21,9015,2015-08-18
194151,man,28,9015,2015-02-22
188335,man,28,9006,2018-09-17
146443,man,37,9012,2017-06-17
196018,women,50,9010,2011-11-12
195122,man,65,9008,2016-11-29
171091,women,44,9013,2010-10-18
157106,women,49,9012,2019-10-12
104687,man,34,9013,2014-09-17
130270,man,27,9003,2020-01-20
156101,man,50,9007,2016-02-19
149548,women,58,9017,2013-03-27
190434,man,34,9007,2014-10-20
138178,women,43,9006,2010-06-29
172128,women,41,9012,2020-06-30
112989,man,38,9008,2010-10-31
186752,man,63,9003,2010-05-14
144852,man,46,9001,2012-07-25
184329,women,63,9014,2011-10-28
165809,man,61,9012,2019-11-16
127399,women,24,9008,2016-05-14
100340,women,57,9013,2015-03-20
110203,man,62,9016,2016-03-20
181264,man,40,9005,2012-02-25
187186,man,32,9006,2011-08-14
170366,women,37,9011,2014-07-10
171340,man,55,9013,2013-05-17
181337,women,32,9005,2012-05-23
151258,women,38,9010,2010-02-09
118713,man,29,9005,2017-10-16
123762,man,54,9005,2012-07-13
133832,man,61,9008,2019-11-21
148515,women,22,9007,2016-01-15
136739,man,49,9007,2011-11-12
196157,women,29,9017,2017-06-12
101352,women,26,9002,2011-05-03
159163,man,23,9002,2015-05-06
105483,man,56,9012,2017-05-06
141101,man,35,9016,2016-09-21
154515,women,54,9014,2011-02-28
198059,man,21,9009,2016-01-15
171054,women,47,9015,2012-12-06
194861,women,27,9017,2012-11-01
108233,man,32,9011,2014-06-08
191052,man,37,9012,2015-06-03
114819,man,55,9005,2019-03-28
160278,women,64,9006,2012-12-12
129944,man,46,9011,2015-10-12
166844,women,57,9012,2019-06-02
165512,women,52,9005,2013-07-13
109362,man,31,9005,2019-08-06
111620,man,35,9006,2013-09-11
122073,man,55,9004,2014-05-09
178891,women,48,9009,2020-10-16
161958,man,43,9001,2011-08-12
109837,women,58,9001,2016-07-11
121573,women,27,9006,2017-02-17
123887,man,53,9010,2018-10-02
195512,man,28,9001,2010-05-24
106094,man,25,9016,2015-07-14
157532,women,54,9009,2020-03-08
165707,man,25,9012,2016-07-18
147075,women,21,9006,2013-11-26
151357,women,50,9004,2014-07-30
198632,man,39,9010,2016-01-01
145886,man,39,9016,2016-04-07
157537,man,31,9007,2015-10-07
150342,women,59,9012,2017-01-31
166652,man,58,9016,2013-03-17
192597,women,34,9013,2018-06-01
166160,women,23,9011,2016-05-11
191018,man,41,9008,2020-06-23
161122,man,31,9017,2017-12-25
145086,man,36,9010,2015-06-01
166174,women,65,9005,2011-05-17
191325,man,49,9001,2013-07-18
116387,women,20,9013,2014-04-29
180745,women,65,9013,2015-11-09
116838,man,22,9001,2013-11-10
127078,man,22,9004,2010-05-13
151229,man,21,9013,2020-10-14
136141,women,58,9007,2016-03-01
196344,man,23,9001,2019-06-21
181635,women,27,9015,2013-12-12
129925,women,36,9015,2016-10-11
154502,man,62,9004,2020-05-31
117425,man,60,9009,2016-01-11
176093,man,34,9017,2014-07-11
117012,women,40,9007,2020-11-08
172409,man,49,9002,2015-07-26
109464,women,36,9015,2019-07-16
108109,women,57,9009,2020-04-19
157860,man,65,9011,2016-04-13
168039,man,33,9006,2014-06-14
109880,man,44,9005,2014-06-18
188196,women,54,9005,2018-11-08
185493,man,40,9010,2010-02-04
169361,women,54,9007,2018-03-23
136837,women,29,9012,2012-12-06
180656,man,22,9014,2011-03-29
190224,man,59,9005,2014-07-13
146299,man,51,9015,2018-05-24
183327,women,42,9015,2012-07-30
145464,man,61,9012,2016-07-05
178556,women,63,9011,2014-01-12
153363,women,40,9007,2016-12-13
180382,man,43,9003,2010-05-03
151664,man,49,9005,2016-08-17
127570,man,49,9007,2017-12-31
155579,women,53,9014,2015-11-29
155281,man,54,9006,2020-01-18
105162,women,25,9004,2020-05-20
120734,women,48,9015,2011-12-12
157149,man,52,9001,2013-11-28
148103,man,45,9012,2017-08-30
187862,man,34,9014,2010-10-02
102923,women,40,9015,2014-06-10
186245,man,44,9013,2017-07-02
172975,women,35,9011,2010-11-30
137362,women,64,9002,2017-08-11
130136,man,46,9017,2010-01-11
198756,man,40,9003,2018-01-13
176041,man,22,9008,2015-07-09
117514,women,58,9002,2016-11-29
121294,man,29,9007,2018-02-20
131919,women,54,9006,2010-05-08
105599,women,34,9014,2012-01-30
157648,man,31,9012,2018-04-18
163971,man,60,9006,2018-02-28
103514,man,37,9007,2013-10-25
122592,women,45,9017,2015-07-16
101061,man,54,9005,2015-05-26
101860,women,48,9015,2017-01-27
177197,women,34,9009,2011-03-19
189471,man,64,9011,2011-03-12
119498,man,51,9014,2012-11-03
122788,man,53,9003,2019-01-16
117393,women,41,9008,2013-06-12
156730,man,39,9017,2019-09-14
193250,women,33,9013,2016-11-06
132706,women,55,9005,2017-04-20
140222,man,31,9015,2017-01-10
119083,man,51,9016,2012-11-05
129636,man,40,9013,2019-12-18
197578,women,27,9004,2020-02-17
103824,man,52,9016,2012-09-14
139331,women,54,9009,2015-08-23
170377,women,40,9013,2020-01-31
108524,man,46,9017,2011-09-16
147646,man,39,9005,2015-12-15
130588,man,59,9008,2012-07-26
105919,women,37,9013,2015-03-05
152576,women,44,9009,2015-09-10
116537,women,58,9002,2011-09-21
165591,man,25,9001,2020-03-23
163287,man,30,9006,2017-10-08
110942,man,63,9015,2014-12-13
178320,women,58,9002,2020-01-22
159332,man,52,9006,2019-08-24
127619,women,39,9007,2013-12-09
175016,women,29,9011,2017-04-05
177711,man,26,9001,2013-11-06
169773,man,50,9002,2020-03-30
174777,man,25,9017,2018-05-23
109796,women,54,9013,2020-09-01
190236,man,41,9002,2013-06-04
146894,women,58,9015,2019-04-30
128399,women,39,9003,2018-06-03
122075,man,35,9001,2018-03-21
181098,man,35,9008,2010-02-03
137670,man,28,9004,2018-12-03
159975,women,53,9003,2019-07-15
133273,man,58,9001,2015-01-03
184320,women,38,9012,2019-06-02
162002,women,53,9001,2013-10-26
167845,man,25,9003,2011-06-01
149386,man,29,9011,2013-08-03
186552,man,26,9006,2012-04-08
106640,women,51,9011,2013-08-06
144610,man,51,9002,2014-08-11
199304,women,40,9008,2014-03-27
114731,women,55,9009,2020-09-05
170181,man,28,9006,2014-06-26
192230,man,54,9008,2018-01-01
150995,man,65,9008,2020-02-14
116688,women,62,9010,2016-10-14
137821,man,29,9007,2019-09-16
186070,women,20,9005,2015-12-08
108183,women,22,9003,2019-04-05
144833,man,26,9004,2014-12-13
183843,man,55,9002,2013-02-10
187733,man,21,9005,2010-07-28
156267,women,63,9013,2012-05-22
168408,man,42,9005,2014-05-10
119444,women,53,9006,2015-07-21
185624,women,47,9008,2018-11-05
133987,man,44,9001,2011-12-28
122101,man,34,9003,2010-07-10
163028,man,28,9008,2017-07-29
187197,women,20,9013,2017-01-29
197805,man,22,9010,2020-01-25
160974,women,35,9009,2015-01-26
129317,women,26,9015,2015-02-03
111971,man,21,9013,2012-03-03
110792,man,63,9015,2010-09-02
153299,man,20,9011,2010-11-11
171269,women,55,9002,2018-05-30
189701,man,63,9012,2012-12-25
136779,women,40,9017,2018-10-01
182285,women,59,9006,2013-02-08
102499,man,50,9016,2014-09-19
139019,man,36,9015,2019-02-19
148479,man,36,9008,2012-07-11
150949,women,59,9009,2017-09-21
156218,man,42,9007,2019-01-08
134268,women,25,9004,2010-12-26
188993,women,50,9014,2014-03-10
182937,man,50,9008,2013-02-26
131604,man,27,9008,2017-06-13
146165,man,26,9005,2020-01-07
181294,women,20,9003,2010-04-10
181664,man,54,9015,2018-05-07
182857,women,37,9001,2018-10-13
134095,women,54,9004,2019-01-12
175516,man,59,9015,2012-08-10
114591,man,50,9011,2015-07-02
123354,man,49,9007,2015-03-21
156998,women,60,9009,2017-03-28
144545,man,48,9001,2020-09-13
153490,women,34,9002,2010-06-20
134429,women,64,9004,2010-03-21
155279,man,46,9012,2014-05-20
182418,man,36,9007,2012-11-02
173996,man,46,9013,2014-02-19
179421,women,58,9013,2012-09-18
106554,man,33,9016,2018-08-26
116918,women,64,9013,2013-06-26
190947,women,32,9009,2010-07-09
125942,man,61,9014,2020-07-05
111332,man,51,9002,2016-02-06
176533,man,24,9002,2019-06-23
166497,women,37,9015,2015-09-17
128761,man,34,9015,2018-04-21
142074,women,50,9016,2019-07-11
136253,women,65,9007,2017-03-21
180033,man,44,9015,2017-07-30
113253,man,23,9003,2011-04-23
162150,man,47,9012,2011-12-26
